investor,commit,deal_size,invite,rating,int_rate,covenants,total_fees,fee_share,prior_tier,invite_tier,tier_change,fee_percent,invite_percent
MUFG Union,Commit,2300,420,4,Market,1,263,26.6,Bookrunner,Bookrunner,None,0.10114068441064639,0.1826086956521739
Deutsche Bank,Commit,1000,180,8,Market,0,90,17.9,Bookrunner,Bookrunner,None,0.19888888888888887,0.18
Goldman Sachs,Commit,400,70,2,Market,2,42,6.2,Bookrunner,Bookrunner,None,0.14761904761904762,0.175
Deutsche Bank,Decline,600,110,4,Market,1,58,3.2,Bookrunner,Bookrunner,None,0.055172413793103454,0.18333333333333332
Goldman Sachs,Commit,1600,220,2,Market,2,149,33.5,Bookrunner,Bookrunner,None,0.22483221476510068,0.1375
Deutsche Bank,Commit,800,180,1,Market,1,11,3.7,Bookrunner,Bookrunner,None,0.33636363636363636,0.225
Wells Fargo,Commit,1600,150,8,Above,1,277,31.9,Bookrunner,Participant,Demoted,0.11516245487364621,0.09375
Wells Fargo,Commit,700,120,3,Market,2,55,2.8,Bookrunner,Bookrunner,None,0.050909090909090904,0.17142857142857143
Wells Fargo,Commit,1400,290,6,Market,1,158,56.4,Bookrunner,Bookrunner,None,0.3569620253164557,0.20714285714285716
Goldman Sachs,Decline,1400,160,8,Market,0,212,14.0,Bookrunner,Participant,Demoted,0.0660377358490566,0.11428571428571428
MUFG Union,Commit,1000,210,10,Market,0,65,8.3,Participant,Bookrunner,Promoted,0.12769230769230772,0.21
Goldman Sachs,Commit,900,110,5,Above,1,82,20.5,Bookrunner,Bookrunner,None,0.25,0.12222222222222222
Bank of America,Commit,600,100,1,Market,3,103,27.8,Bookrunner,Bookrunner,None,0.26990291262135924,0.16666666666666666
Bank of America,Commit,1300,300,6,Market,1,106,22.3,Bookrunner,Bookrunner,None,0.21037735849056605,0.23076923076923078
Deutsche Bank,Commit,900,140,1,Below,2,94,14.9,Bookrunner,Bookrunner,None,0.15851063829787235,0.15555555555555556
MUFG Union,Commit,700,100,3,Market,2,92,11.7,Bookrunner,Bookrunner,None,0.12717391304347825,0.14285714285714285
MUFG Union,Decline,1300,150,8,Above,0,109,16.9,Bookrunner,Participant,Demoted,0.155045871559633,0.11538461538461539
MUFG Union,Commit,1400,350,7,Market,0,46,0.0,Bookrunner,Bookrunner,None,0.0,0.25
MUFG Union,Commit,1000,150,2,Market,2,109,18.5,Bookrunner,Bookrunner,None,0.16972477064220184,0.15
MUFG Union,Commit,1000,180,6,Market,1,67,1.3,Bookrunner,Bookrunner,None,0.019402985074626865,0.18
Bank of America,Commit,1100,190,2,Market,2,92,4.9,Bookrunner,Bookrunner,None,0.053260869565217396,0.17272727272727273
Wells Fargo,Commit,500,70,3,Market,2,33,4.5,Bookrunner,Bookrunner,None,0.13636363636363635,0.14
Goldman Sachs,Commit,1300,250,10,Below,0,133,37.0,Bookrunner,Bookrunner,None,0.2781954887218045,0.19230769230769232
Deutsche Bank,Commit,900,170,3,Above,2,69,10.1,Bookrunner,Bookrunner,None,0.1463768115942029,0.18888888888888888
Goldman Sachs,Commit,800,150,1,Market,2,54,17.9,Bookrunner,Bookrunner,None,0.33148148148148143,0.1875
Deutsche Bank,Decline,900,100,2,Market,3,137,16.7,Bookrunner,Participant,Demoted,0.1218978102189781,0.1111111111111111
MUFG Union,Commit,1500,300,4,Below,1,168,4.2,Bookrunner,Bookrunner,None,0.025,0.2
Wells Fargo,Decline,900,60,3,Market,2,62,10.2,Bookrunner,Participant,Demoted,0.16451612903225804,0.06666666666666667
Wells Fargo,Commit,200,30,3,Market,2,12,0.3,Bookrunner,Bookrunner,None,0.024999999999999998,0.15
MUFG Union,Decline,1300,130,9,Market,0,89,6.1,Bookrunner,Participant,Demoted,0.06853932584269662,0.1
Bank of America,Decline,700,70,3,Market,2,64,6.9,Bookrunner,Participant,Demoted,0.1078125,0.1
Goldman Sachs,Decline,1600,130,10,Market,0,194,16.3,Bookrunner,Participant,Demoted,0.08402061855670104,0.08125
Wells Fargo,Commit,1400,230,5,Below,1,194,15.7,Bookrunner,Bookrunner,None,0.08092783505154638,0.16428571428571428
Wells Fargo,Commit,1800,300,3,Below,3,711,126.6,Participant,Bookrunner,Promoted,0.1780590717299578,0.16666666666666666
Wells Fargo,Commit,2000,410,7,Market,0,198,54.5,Bookrunner,Bookrunner,None,0.27525252525252525,0.205
Wells Fargo,Decline,600,60,2,Market,2,53,11.0,Bookrunner,Participant,Demoted,0.20754716981132076,0.1
Wells Fargo,Commit,200,40,2,Below,3,32,10.5,Bookrunner,Bookrunner,None,0.328125,0.2
MUFG Union,Commit,700,100,2,Market,2,54,6.2,Participant,Bookrunner,Promoted,0.11481481481481481,0.14285714285714285
Bank of America,Commit,1000,160,8,Market,0,147,47.3,Bookrunner,Bookrunner,None,0.3217687074829932,0.16
Goldman Sachs,Decline,1500,140,8,Market,0,79,6.2,Bookrunner,Participant,Demoted,0.07848101265822785,0.09333333333333334
MUFG Union,Commit,600,80,2,Market,1,29,3.8,Bookrunner,Bookrunner,None,0.13103448275862067,0.13333333333333333
Bank of America,Commit,1200,170,7,Market,0,120,1.6,Bookrunner,Bookrunner,None,0.013333333333333334,0.14166666666666666
Bank of America,Commit,1400,350,10,Market,0,114,49.9,Bookrunner,Bookrunner,None,0.437719298245614,0.25
MUFG Union,Commit,1000,190,5,Below,0,42,4.9,Bookrunner,Bookrunner,None,0.11666666666666667,0.19
Wells Fargo,Commit,400,60,2,Market,2,52,5.5,Bookrunner,Bookrunner,None,0.10576923076923077,0.15
Deutsche Bank,Decline,400,50,3,Below,2,41,7.3,Bookrunner,Bookrunner,None,0.17804878048780487,0.125
Wells Fargo,Commit,1200,160,7,Above,0,95,23.3,Bookrunner,Bookrunner,None,0.24526315789473685,0.13333333333333333
Deutsche Bank,Decline,1800,160,4,Above,1,226,50.9,Bookrunner,Participant,Demoted,0.2252212389380531,0.08888888888888889
Deutsche Bank,Decline,400,40,3,Market,2,47,8.6,Bookrunner,Participant,Demoted,0.1829787234042553,0.1
MUFG Union,Commit,2100,280,2,Market,2,130,10.5,Bookrunner,Bookrunner,None,0.08076923076923077,0.13333333333333333
MUFG Union,Commit,900,60,3,Above,2,221,17.2,Bookrunner,Participant,Demoted,0.07782805429864253,0.06666666666666667
Wells Fargo,Commit,1200,210,3,Market,2,107,18.9,Bookrunner,Bookrunner,None,0.17663551401869157,0.175
Wells Fargo,Commit,1200,290,4,Market,1,173,37.9,Participant,Bookrunner,Promoted,0.21907514450867052,0.24166666666666667
Bank of America,Commit,1100,160,7,Market,1,197,29.0,Bookrunner,Bookrunner,None,0.14720812182741116,0.14545454545454545
Bank of America,Commit,1100,120,5,Market,2,192,37.4,Bookrunner,Participant,Demoted,0.19479166666666667,0.10909090909090909
Wells Fargo,Commit,1900,200,3,Market,2,227,37.0,Bookrunner,Participant,Demoted,0.16299559471365638,0.10526315789473684
Deutsche Bank,Commit,1700,380,4,Market,1,113,38.5,Bookrunner,Bookrunner,None,0.3407079646017699,0.2235294117647059
Deutsche Bank,Commit,600,80,2,Below,2,86,13.1,Bookrunner,Bookrunner,None,0.15232558139534882,0.13333333333333333
Deutsche Bank,Decline,1200,140,8,Market,0,116,15.3,Bookrunner,Participant,Demoted,0.13189655172413794,0.11666666666666667
Goldman Sachs,Commit,800,130,2,Market,2,105,22.3,Bookrunner,Bookrunner,None,0.2123809523809524,0.1625
MUFG Union,Commit,1300,280,6,Market,1,106,10.0,Bookrunner,Bookrunner,None,0.09433962264150944,0.2153846153846154
Deutsche Bank,Commit,1000,150,5,Above,1,105,17.1,Bookrunner,Bookrunner,None,0.16285714285714287,0.15
Deutsche Bank,Commit,1100,170,3,Market,2,134,34.4,Bookrunner,Bookrunner,None,0.25671641791044775,0.15454545454545454
Wells Fargo,Commit,500,70,2,Market,1,18,1.4,Bookrunner,Bookrunner,None,0.07777777777777778,0.14
Goldman Sachs,Decline,1100,100,9,Below,0,131,9.4,Bookrunner,Participant,Demoted,0.0717557251908397,0.09090909090909091
Deutsche Bank,Commit,1000,190,8,Above,0,85,9.8,Bookrunner,Bookrunner,None,0.11529411764705884,0.19
Deutsche Bank,Commit,1200,260,8,Market,0,70,19.5,Participant,Bookrunner,Promoted,0.2785714285714286,0.21666666666666667
Bank of America,Commit,1100,170,2,Market,2,67,18.6,Bookrunner,Bookrunner,None,0.2776119402985075,0.15454545454545454
MUFG Union,Commit,300,50,3,Market,2,32,8.9,Bookrunner,Bookrunner,None,0.278125,0.16666666666666666
Goldman Sachs,Commit,1200,220,6,Market,0,50,8.5,Bookrunner,Bookrunner,None,0.17,0.18333333333333332
Bank of America,Commit,1400,200,5,Below,1,98,0.0,Participant,Bookrunner,Promoted,0.0,0.14285714285714285
Goldman Sachs,Commit,800,120,4,Market,2,144,35.7,Bookrunner,Bookrunner,None,0.24791666666666667,0.15
Deutsche Bank,Decline,600,40,1,Market,2,67,4.3,Bookrunner,Participant,Demoted,0.06417910447761194,0.06666666666666667
Bank of America,Decline,1900,110,6,Market,1,110,13.3,Bookrunner,Participant,Demoted,0.12090909090909091,0.05789473684210526
Bank of America,Commit,1000,60,1,Below,2,105,0.8,Participant,Participant,None,0.007619047619047619,0.06
MUFG Union,Commit,1400,220,3,Market,2,143,34.6,Bookrunner,Bookrunner,None,0.24195804195804196,0.15714285714285714
Bank of America,Commit,1500,240,4,Market,2,268,58.4,Bookrunner,Bookrunner,None,0.21791044776119403,0.16
Deutsche Bank,Decline,1100,180,10,Market,0,30,4.1,Bookrunner,Bookrunner,None,0.13666666666666666,0.16363636363636364
MUFG Union,Commit,700,150,3,Below,3,116,36.0,Bookrunner,Bookrunner,None,0.3103448275862069,0.21428571428571427
Bank of America,Commit,900,130,2,Market,1,35,7.4,Bookrunner,Bookrunner,None,0.21142857142857144,0.14444444444444443
Deutsche Bank,Commit,2200,300,3,Market,2,228,20.3,Bookrunner,Bookrunner,None,0.08903508771929824,0.13636363636363635
Wells Fargo,Commit,1500,270,8,Market,0,119,43.4,Bookrunner,Bookrunner,None,0.36470588235294116,0.18
MUFG Union,Commit,800,130,4,Market,1,107,1.9,Participant,Bookrunner,Promoted,0.01775700934579439,0.1625
Bank of America,Commit,700,110,2,Market,2,58,12.0,Bookrunner,Bookrunner,None,0.20689655172413793,0.15714285714285714
Goldman Sachs,Decline,1000,130,8,Market,0,17,0.8,Bookrunner,Bookrunner,None,0.047058823529411764,0.13
Deutsche Bank,Commit,900,180,1,Market,2,117,12.3,Participant,Bookrunner,Promoted,0.10512820512820513,0.2
Wells Fargo,Commit,1500,200,4,Market,2,268,33.8,Participant,Bookrunner,Promoted,0.12611940298507462,0.13333333333333333
Goldman Sachs,Decline,1200,230,5,Market,0,49,0.5,Bookrunner,Bookrunner,None,0.01020408163265306,0.19166666666666668
MUFG Union,Commit,600,140,3,Market,2,86,30.7,Bookrunner,Bookrunner,None,0.3569767441860465,0.23333333333333334
MUFG Union,Commit,1000,200,4,Market,1,106,21.4,Bookrunner,Bookrunner,None,0.20188679245283017,0.2
MUFG Union,Decline,800,70,3,Market,2,118,24.1,Bookrunner,Participant,Demoted,0.20423728813559322,0.0875
Wells Fargo,Commit,1300,210,5,Above,0,55,7.9,Bookrunner,Bookrunner,None,0.14363636363636365,0.16153846153846155
Deutsche Bank,Decline,1100,200,9,Market,0,99,6.7,Bookrunner,Bookrunner,None,0.06767676767676768,0.18181818181818182
Deutsche Bank,Decline,1200,130,9,Market,0,145,21.0,Bookrunner,Participant,Demoted,0.14482758620689656,0.10833333333333334
Bank of America,Commit,1500,200,6,Market,1,80,0.0,Participant,Bookrunner,Promoted,0.0,0.13333333333333333
Deutsche Bank,Commit,1100,190,3,Market,2,69,17.7,Bookrunner,Bookrunner,None,0.25652173913043474,0.17272727272727273
Deutsche Bank,Commit,1200,200,8,Market,0,153,30.9,Bookrunner,Bookrunner,None,0.2019607843137255,0.16666666666666666
Deutsche Bank,Decline,500,80,1,Market,2,126,7.4,Bookrunner,Bookrunner,None,0.05873015873015873,0.16
Bank of America,Commit,400,70,2,Market,3,62,19.9,Bookrunner,Bookrunner,None,0.32096774193548383,0.175
Bank of America,Commit,800,130,3,Market,2,59,8.0,Bookrunner,Bookrunner,None,0.13559322033898305,0.1625
Bank of America,Commit,700,110,1,Market,2,68,13.5,Bookrunner,Bookrunner,None,0.19852941176470587,0.15714285714285714
Goldman Sachs,Decline,1300,150,10,Market,0,112,15.5,Bookrunner,Participant,Demoted,0.13839285714285715,0.11538461538461539
Bank of America,Commit,500,60,3,Market,2,52,8.9,Bookrunner,Bookrunner,None,0.17115384615384616,0.12
Bank of America,Commit,1200,120,8,Market,0,116,22.7,Bookrunner,Participant,Demoted,0.1956896551724138,0.1
Bank of America,Commit,400,50,4,Market,1,53,0.0,Participant,Bookrunner,Promoted,0.0,0.125
Bank of America,Commit,400,60,4,Market,1,22,4.7,Bookrunner,Bookrunner,None,0.21363636363636365,0.15
Goldman Sachs,Decline,600,80,2,Market,2,63,0.4,Bookrunner,Bookrunner,None,0.006349206349206349,0.13333333333333333
Goldman Sachs,Commit,1700,210,8,Market,0,106,23.6,Bookrunner,Bookrunner,None,0.22264150943396227,0.12352941176470589
Deutsche Bank,Commit,700,110,2,Market,2,48,7.8,Bookrunner,Bookrunner,None,0.1625,0.15714285714285714
Bank of America,Commit,600,100,2,Market,2,57,17.5,Bookrunner,Bookrunner,None,0.30701754385964913,0.16666666666666666
Deutsche Bank,Decline,700,30,1,Above,2,92,5.2,Participant,Participant,None,0.05652173913043478,0.04285714285714286
Deutsche Bank,Commit,900,120,2,Market,3,150,8.0,Bookrunner,Bookrunner,None,0.05333333333333334,0.13333333333333333
Wells Fargo,Commit,1800,310,8,Market,0,159,41.5,Bookrunner,Bookrunner,None,0.2610062893081761,0.17222222222222222
Goldman Sachs,Decline,1100,130,7,Market,0,105,7.4,Bookrunner,Participant,Demoted,0.07047619047619048,0.11818181818181818
Goldman Sachs,Commit,1800,310,7,Market,0,232,0.0,Participant,Bookrunner,Promoted,0.0,0.17222222222222222
Deutsche Bank,Commit,1200,180,4,Market,1,140,30.1,Bookrunner,Bookrunner,None,0.215,0.15
Goldman Sachs,Commit,1600,230,5,Market,0,35,7.0,Bookrunner,Bookrunner,None,0.2,0.14375
Bank of America,Decline,400,60,4,Market,1,42,0.2,Bookrunner,Bookrunner,None,0.004761904761904762,0.15
Goldman Sachs,Commit,1200,280,2,Above,2,131,2.9,Bookrunner,Bookrunner,None,0.022137404580152672,0.23333333333333334
Wells Fargo,Commit,700,60,1,Market,2,75,13.2,Bookrunner,Participant,Demoted,0.176,0.08571428571428572
Bank of America,Commit,700,120,3,Market,2,78,11.6,Participant,Bookrunner,Promoted,0.14871794871794872,0.17142857142857143
Goldman Sachs,Commit,1700,290,8,Above,0,11,3.0,Bookrunner,Bookrunner,None,0.2727272727272727,0.17058823529411765
Wells Fargo,Commit,400,70,2,Market,3,63,2.6,Participant,Bookrunner,Promoted,0.04126984126984127,0.175
Deutsche Bank,Commit,800,160,3,Market,2,105,26.5,Participant,Bookrunner,Promoted,0.2523809523809524,0.2
Goldman Sachs,Commit,1800,250,6,Above,1,131,30.3,Bookrunner,Bookrunner,None,0.23129770992366414,0.1388888888888889
Goldman Sachs,Decline,900,100,2,Market,2,135,18.1,Bookrunner,Participant,Demoted,0.1340740740740741,0.1111111111111111
MUFG Union,Commit,1100,210,5,Above,1,68,23.4,Bookrunner,Bookrunner,None,0.34411764705882353,0.19090909090909092
MUFG Union,Commit,1000,110,6,Market,1,121,9.9,Participant,Participant,None,0.08181818181818182,0.11
Deutsche Bank,Decline,1400,170,4,Market,1,80,15.5,Bookrunner,Participant,Demoted,0.19375,0.12142857142857143
Deutsche Bank,Decline,800,70,4,Market,1,57,6.7,Bookrunner,Participant,Demoted,0.11754385964912281,0.0875
Goldman Sachs,Commit,1400,270,7,Above,0,142,30.7,Bookrunner,Bookrunner,None,0.21619718309859154,0.19285714285714287
Goldman Sachs,Decline,1900,290,2,Market,1,89,0.5,Bookrunner,Bookrunner,None,0.0056179775280898875,0.15263157894736842
Wells Fargo,Commit,300,50,2,Market,2,30,1.5,Bookrunner,Bookrunner,None,0.05,0.16666666666666666
MUFG Union,Commit,600,120,1,Market,2,78,23.3,Bookrunner,Bookrunner,None,0.2987179487179487,0.2
MUFG Union,Commit,1000,60,4,Below,2,166,2.0,Participant,Participant,None,0.012048192771084338,0.06
Wells Fargo,Commit,1300,220,6,Above,1,181,40.5,Participant,Bookrunner,Promoted,0.22375690607734808,0.16923076923076924
Deutsche Bank,Decline,1300,150,10,Market,0,188,29.7,Bookrunner,Participant,Demoted,0.1579787234042553,0.11538461538461539
MUFG Union,Commit,600,80,3,Market,3,95,1.7,Bookrunner,Bookrunner,None,0.017894736842105262,0.13333333333333333
Wells Fargo,Commit,2100,420,6,Above,1,183,2.0,Bookrunner,Bookrunner,None,0.01092896174863388,0.2
Deutsche Bank,Commit,800,140,3,Market,2,55,1.0,Participant,Bookrunner,Promoted,0.01818181818181818,0.175
Wells Fargo,Commit,1000,130,4,Market,0,21,0.8,Bookrunner,Bookrunner,None,0.0380952380952381,0.13
MUFG Union,Commit,600,80,3,Market,3,115,3.3,Bookrunner,Bookrunner,None,0.028695652173913042,0.13333333333333333
Goldman Sachs,Commit,1300,180,2,Market,2,109,9.0,Bookrunner,Bookrunner,None,0.08256880733944955,0.13846153846153847
Bank of America,Commit,1800,250,9,Below,0,203,52.2,Bookrunner,Bookrunner,None,0.2571428571428572,0.1388888888888889
Wells Fargo,Commit,900,150,2,Market,2,94,17.1,Bookrunner,Bookrunner,None,0.1819148936170213,0.16666666666666666
Deutsche Bank,Commit,600,110,4,Market,1,32,11.0,Bookrunner,Bookrunner,None,0.34375,0.18333333333333332
Goldman Sachs,Commit,900,140,2,Market,2,80,11.8,Bookrunner,Bookrunner,None,0.14750000000000002,0.15555555555555556
Deutsche Bank,Decline,1300,280,1,Below,2,127,0.8,Bookrunner,Bookrunner,None,0.006299212598425198,0.2153846153846154
Goldman Sachs,Commit,800,150,3,Market,2,80,20.0,Bookrunner,Bookrunner,None,0.25,0.1875
Goldman Sachs,Commit,1400,220,7,Market,0,103,14.6,Bookrunner,Bookrunner,None,0.141747572815534,0.15714285714285714
Bank of America,Commit,1300,190,3,Market,3,218,43.2,Bookrunner,Bookrunner,None,0.1981651376146789,0.14615384615384616
MUFG Union,Commit,1800,330,1,Above,2,135,41.3,Bookrunner,Bookrunner,None,0.3059259259259259,0.18333333333333332
Bank of America,Commit,1800,280,7,Market,0,213,0.0,Participant,Bookrunner,Promoted,0.0,0.15555555555555556
Wells Fargo,Decline,1200,140,3,Market,2,87,8.9,Bookrunner,Participant,Demoted,0.10229885057471265,0.11666666666666667
Bank of America,Commit,1800,280,4,Market,1,95,20.4,Participant,Bookrunner,Promoted,0.21473684210526314,0.15555555555555556
MUFG Union,Decline,1300,100,6,Market,1,131,8.5,Bookrunner,Participant,Demoted,0.0648854961832061,0.07692307692307693
Deutsche Bank,Commit,1200,170,5,Market,1,130,14.3,Bookrunner,Bookrunner,None,0.11,0.14166666666666666
MUFG Union,Commit,1600,240,3,Market,2,114,22.9,Bookrunner,Bookrunner,None,0.20087719298245613,0.15
Wells Fargo,Decline,1000,110,4,Market,1,113,6.6,Bookrunner,Participant,Demoted,0.0584070796460177,0.11
MUFG Union,Commit,1000,120,3,Market,1,44,10.6,Bookrunner,Bookrunner,None,0.2409090909090909,0.12
Bank of America,Commit,600,80,3,Market,2,70,10.3,Bookrunner,Bookrunner,None,0.14714285714285716,0.13333333333333333
Goldman Sachs,Commit,300,40,3,Market,2,32,3.9,Bookrunner,Bookrunner,None,0.121875,0.13333333333333333
Wells Fargo,Commit,500,60,1,Market,3,80,19.4,Bookrunner,Participant,Demoted,0.2425,0.12
MUFG Union,Commit,1300,220,4,Market,1,135,26.3,Bookrunner,Bookrunner,None,0.19481481481481483,0.16923076923076924
Wells Fargo,Commit,600,100,4,Market,1,60,1.3,Bookrunner,Bookrunner,None,0.021666666666666667,0.16666666666666666
Wells Fargo,Commit,800,110,1,Market,3,133,20.6,Participant,Bookrunner,Promoted,0.1548872180451128,0.1375
Bank of America,Decline,1400,70,3,Market,2,84,7.7,Bookrunner,Participant,Demoted,0.09166666666666667,0.05
Wells Fargo,Commit,700,130,3,Market,2,68,10.3,Bookrunner,Bookrunner,None,0.15147058823529413,0.18571428571428572
Wells Fargo,Commit,1200,200,3,Market,2,107,28.0,Bookrunner,Bookrunner,None,0.2616822429906542,0.16666666666666666
MUFG Union,Commit,1700,240,10,Above,0,218,17.4,Bookrunner,Bookrunner,None,0.07981651376146788,0.1411764705882353
Deutsche Bank,Commit,800,150,2,Above,2,177,8.0,Participant,Bookrunner,Promoted,0.04519774011299435,0.1875
Goldman Sachs,Commit,900,140,2,Market,2,112,7.1,Bookrunner,Bookrunner,None,0.06339285714285714,0.15555555555555556
Wells Fargo,Commit,1200,100,5,Market,2,221,44.2,Bookrunner,Participant,Demoted,0.2,0.08333333333333333
Wells Fargo,Commit,900,50,2,Above,2,58,7.0,Bookrunner,Participant,Demoted,0.1206896551724138,0.05555555555555555
Deutsche Bank,Commit,200,40,1,Market,2,22,9.1,Bookrunner,Bookrunner,None,0.41363636363636364,0.2
MUFG Union,Commit,1300,250,9,Market,0,95,2.9,Participant,Bookrunner,Promoted,0.030526315789473683,0.19230769230769232
MUFG Union,Commit,1000,190,2,Market,3,182,22.4,Bookrunner,Bookrunner,None,0.12307692307692307,0.19
MUFG Union,Decline,1400,100,7,Below,0,119,13.7,Bookrunner,Participant,Demoted,0.11512605042016806,0.07142857142857142
Bank of America,Commit,1000,180,3,Market,2,103,4.3,Participant,Bookrunner,Promoted,0.04174757281553398,0.18
Wells Fargo,Commit,1500,130,5,Market,1,123,12.3,Participant,Participant,None,0.1,0.08666666666666667
MUFG Union,Commit,1400,300,9,Market,0,140,14.8,Bookrunner,Bookrunner,None,0.10571428571428572,0.21428571428571427
Bank of America,Commit,1700,250,6,Above,1,366,1.8,Bookrunner,Bookrunner,None,0.004918032786885246,0.14705882352941177
MUFG Union,Commit,800,120,1,Market,2,78,12.9,Participant,Bookrunner,Promoted,0.16538461538461538,0.15
Wells Fargo,Commit,1800,250,8,Market,0,202,9.1,Bookrunner,Bookrunner,None,0.04504950495049505,0.1388888888888889
Goldman Sachs,Commit,800,110,1,Market,2,74,11.1,Bookrunner,Bookrunner,None,0.15,0.1375
Deutsche Bank,Decline,800,140,2,Above,2,84,0.5,Bookrunner,Bookrunner,None,0.005952380952380952,0.175
Wells Fargo,Commit,1300,170,9,Market,1,197,46.9,Bookrunner,Bookrunner,None,0.2380710659898477,0.13076923076923078
Goldman Sachs,Commit,500,90,2,Market,2,57,15.7,Participant,Bookrunner,Promoted,0.27543859649122804,0.18
MUFG Union,Commit,1200,130,5,Market,1,157,38.9,Bookrunner,Participant,Demoted,0.24777070063694268,0.10833333333333334
Goldman Sachs,Commit,1500,360,7,Market,0,192,47.6,Bookrunner,Bookrunner,None,0.24791666666666667,0.24
Bank of America,Commit,1600,290,3,Below,2,148,12.3,Bookrunner,Bookrunner,None,0.08310810810810812,0.18125
Bank of America,Commit,900,180,2,Market,1,27,5.6,Participant,Bookrunner,Promoted,0.2074074074074074,0.2
Deutsche Bank,Commit,1200,290,6,Above,1,136,7.5,Bookrunner,Bookrunner,None,0.05514705882352941,0.24166666666666667
MUFG Union,Commit,900,150,3,Market,2,105,7.9,Bookrunner,Bookrunner,None,0.07523809523809524,0.16666666666666666
MUFG Union,Commit,1400,170,5,Market,1,181,15.6,Participant,Participant,None,0.0861878453038674,0.12142857142857143
Bank of America,Commit,1700,210,2,Market,3,299,36.2,Bookrunner,Bookrunner,None,0.12107023411371239,0.12352941176470589
Bank of America,Commit,900,130,1,Market,2,100,24.3,Bookrunner,Bookrunner,None,0.243,0.14444444444444443
Deutsche Bank,Commit,1300,220,8,Market,0,159,37.4,Bookrunner,Bookrunner,None,0.23522012578616353,0.16923076923076924
Goldman Sachs,Commit,1000,210,1,Market,2,110,39.3,Bookrunner,Bookrunner,None,0.35727272727272724,0.21
Goldman Sachs,Commit,1100,190,5,Market,1,107,12.1,Bookrunner,Bookrunner,None,0.1130841121495327,0.17272727272727273
Wells Fargo,Commit,600,80,2,Market,2,72,14.2,Bookrunner,Bookrunner,None,0.19722222222222222,0.13333333333333333
Bank of America,Decline,1100,110,10,Below,0,108,6.3,Bookrunner,Participant,Demoted,0.058333333333333334,0.1
Wells Fargo,Commit,1300,250,7,Market,1,208,35.8,Bookrunner,Bookrunner,None,0.17211538461538461,0.19230769230769232
Bank of America,Decline,1500,150,3,Below,2,78,0.3,Participant,Participant,None,0.003846153846153846,0.1
Bank of America,Commit,1600,300,6,Market,1,217,45.6,Bookrunner,Bookrunner,None,0.21013824884792628,0.1875
MUFG Union,Commit,600,90,2,Above,2,72,12.2,Bookrunner,Bookrunner,None,0.16944444444444443,0.15
Deutsche Bank,Commit,1500,370,4,Market,1,151,8.0,Bookrunner,Bookrunner,None,0.052980132450331126,0.24666666666666667
Bank of America,Commit,900,140,1,Market,1,44,13.8,Bookrunner,Bookrunner,None,0.31363636363636366,0.15555555555555556
MUFG Union,Commit,600,120,2,Below,2,65,4.4,Bookrunner,Bookrunner,None,0.0676923076923077,0.2
Wells Fargo,Commit,1200,180,1,Market,1,45,1.7,Bookrunner,Bookrunner,None,0.03777777777777778,0.15
Deutsche Bank,Commit,800,150,1,Market,2,77,24.2,Bookrunner,Bookrunner,None,0.3142857142857143,0.1875
Wells Fargo,Commit,1000,150,7,Market,0,27,3.4,Bookrunner,Bookrunner,None,0.1259259259259259,0.15
Wells Fargo,Commit,500,70,4,Market,1,62,0.0,Participant,Bookrunner,Promoted,0.0,0.14
Bank of America,Commit,400,80,2,Market,2,44,3.9,Participant,Bookrunner,Promoted,0.08863636363636364,0.2
Deutsche Bank,Decline,1300,90,4,Market,1,135,1.6,Participant,Participant,None,0.011851851851851853,0.06923076923076923
Deutsche Bank,Commit,1900,260,4,Market,2,315,50.4,Bookrunner,Bookrunner,None,0.16,0.1368421052631579
Goldman Sachs,Commit,1500,250,3,Market,2,134,13.5,Participant,Bookrunner,Promoted,0.10074626865671642,0.16666666666666666
MUFG Union,Decline,1100,80,6,Market,1,81,4.2,Bookrunner,Participant,Demoted,0.05185185185185186,0.07272727272727272
MUFG Union,Commit,1200,160,5,Market,1,128,19.1,Bookrunner,Bookrunner,None,0.14921875,0.13333333333333333
MUFG Union,Commit,900,180,2,Market,2,135,32.9,Bookrunner,Bookrunner,None,0.2437037037037037,0.2
Bank of America,Commit,800,60,1,Market,2,214,21.4,Bookrunner,Participant,Demoted,0.09999999999999999,0.075
Bank of America,Commit,800,180,1,Market,1,19,2.3,Bookrunner,Bookrunner,None,0.12105263157894736,0.225
MUFG Union,Decline,1300,120,10,Market,0,73,12.4,Bookrunner,Participant,Demoted,0.16986301369863013,0.09230769230769231
Deutsche Bank,Decline,500,60,2,Above,2,31,4.1,Bookrunner,Bookrunner,None,0.132258064516129,0.12
Wells Fargo,Commit,900,100,2,Above,2,75,13.4,Bookrunner,Participant,Demoted,0.17866666666666667,0.1111111111111111
MUFG Union,Commit,1200,170,4,Market,1,97,16.0,Bookrunner,Bookrunner,None,0.16494845360824742,0.14166666666666666
Goldman Sachs,Decline,600,50,2,Market,2,72,15.9,Bookrunner,Participant,Demoted,0.22083333333333333,0.08333333333333333
Deutsche Bank,Decline,1300,230,6,Market,1,131,3.0,Bookrunner,Bookrunner,None,0.022900763358778626,0.17692307692307693
Goldman Sachs,Commit,1000,170,10,Below,0,130,44.5,Bookrunner,Bookrunner,None,0.3423076923076923,0.17
